
 NCe$Z (MAGNETIZATION AND ZEEMAN)    
 AL=  -1.9990	GJ=   0.8571
 FI=   0. TETA=  90.

  X(J)  -525.40002   -60.10000     0.00000     0.00000     0.00000     0.00000   764.40002     0.00000     0.00000
   472.000000       1126.80737       479.270599    
   473.000000       1127.34387       480.344025    
   474.000000       1127.88464       481.417633    
   475.000000       1128.42615       482.491425    
   476.000000       1128.96716       483.565491    
   477.000000       1129.51965       484.639771    
   478.000000       1130.06458       485.714203    
   479.000000       1130.61987       486.788971    
   480.000000       1131.17529       487.863892    
   481.000000       1131.73010       488.939056    
   482.000000       1132.29333       490.014435    
   483.000000       1132.85901       491.090027    
   484.000000       1133.42090       492.165894    
   485.000000       1133.99146       493.241882    
   486.000000       1134.55994       494.318146    
   487.000000       1135.13147       495.394684    
   488.000000       1135.70740       496.471252    
   489.000000       1136.28638       497.548187    
   490.000000       1136.86548       498.625305    
   491.000000       1137.45239       499.702606    
   492.000000       1138.03394       500.780060    
   493.000000       1138.62109       501.857788    
   494.000000       1139.21021       502.935760    
   495.000000       1139.80334       504.013824    
   496.000000       1140.40039       505.092224    
   497.000000       1140.99829       506.170654    
   498.000000       1141.59729       507.249451    
   499.000000       1142.19739       508.328339    
   500.000000       1142.79749       509.407471    
   501.000000       1143.40625       510.486786    
   502.000000       1144.01196       511.566284    
   503.000000       1144.62134       512.645935    
   504.000000       1145.23364       513.725830    
   505.000000       1145.85156       514.805908    
   506.000000       1146.46289       515.886230    
   507.000000       1147.08398       516.966675    
   508.000000       1147.70569       518.047302    
   509.000000       1148.33105       519.128113    
   510.000000       1148.95227       520.209106    
   511.000000       1149.58093       521.290344    
   512.000000       1150.21228       522.371704    
   513.000000       1150.84119       523.453247    
   514.000000       1151.47461       524.534973    
   515.000000       1152.11084       525.616821    
   516.000000       1152.75037       526.698914    
   517.000000       1153.38818       527.781250    
   518.000000       1154.03259       528.863647    
   519.000000       1154.67737       529.946289    
   520.000000       1155.32190       531.029053    
   521.000000       1155.96545       532.112000    
   522.000000       1156.61975       533.195068    
   523.000000       1157.27246       534.278442    
   524.000000       1157.92676       535.361877    
   525.000000       1158.57874       536.445496    
   526.000000       1159.23291       537.529297    
   527.000000       1159.89612       538.613281    
   528.000000       1160.55420       539.697388    
   529.000000       1161.21387       540.781616    
   530.000000       1161.88306       541.866089    
   531.000000       1162.55481       542.950684    
   532.000000       1163.22107       544.035400    
   533.000000       1163.88733       545.120361    
   534.000000       1164.56372       546.205444    
   535.000000       1165.23828       547.290649    
   536.000000       1165.91431       548.376038    
   537.000000       1166.58704       549.461609    
   538.000000       1167.27026       550.547302    
   539.000000       1167.94653       551.633118    
   540.000000       1168.63416       552.719116    
   541.000000       1169.31934       553.805176    
   542.000000       1170.00305       554.891479    
   543.000000       1170.69373       555.977905    
   544.000000       1171.38196       557.064575    
   545.000000       1172.07483       558.151184    
   546.000000       1172.76648       559.238159    
   547.000000       1173.45728       560.325195    
   548.000000       1174.15503       561.412292    
   549.000000       1174.86121       562.499573    
   550.000000       1175.55762       563.587036    
   551.000000       1176.25427       564.674622    
   552.000000       1176.95935       565.762268    
   553.000000       1177.66443       566.850098    
   554.000000       1178.37097       567.938171    
   555.000000       1179.07971       569.026245    
   556.000000       1179.78833       570.114441    
   557.000000       1180.49597       571.202820    
   558.000000       1181.21057       572.291443    
   559.000000       1181.92163       573.380005    
   560.000000       1182.63965       574.468811    
   561.000000       1183.35754       575.557617    
   562.000000       1184.07874       576.646729    
   563.000000       1184.80005       577.735901    
   564.000000       1185.52136       578.825195    
   565.000000       1186.24219       579.914551    
   566.000000       1186.96484       581.004089    
   567.000000       1187.69214       582.093750    
   568.000000       1188.41882       583.183533    
   569.000000       1189.14587       584.273438    
   570.000000       1189.88135       585.363464    
   571.000000       1190.60864       586.453613    
   572.000000       1191.34692       587.543884    
   573.000000       1192.08069       588.634216    
   574.000000       1192.81885       589.724731    
   575.000000       1193.54883       590.815369    
   576.000000       1194.29443       591.906128    
   577.000000       1195.03833       592.996948    
   578.000000       1195.77454       594.087830    
   579.000000       1196.52051       595.179016    
   580.000000       1197.25928       596.270142    
   581.000000       1198.00842       597.361389    
   582.000000       1198.75732       598.452820    
   583.000000       1199.50232       599.544373    
   584.000000       1200.26184       600.635986    
   585.000000       1201.00647       601.727661    
   586.000000       1201.75488       602.819519    
   587.000000       1202.51196       603.911438    
   588.000000       1203.26941       605.003479    
   589.000000       1204.02979       606.095642    
   590.000000       1204.78992       607.187927    
   591.000000       1205.53906       608.280273    
   592.000000       1206.30090       609.372742    
   593.000000       1207.06152       610.465271    
   594.000000       1207.82837       611.557983    
   595.000000       1208.59131       612.650696    
   596.000000       1209.35730       613.743530    
   597.000000       1210.12170       614.836548    
   598.000000       1210.89343       615.929565    
   599.000000       1211.66064       617.022644    
   600.000000       1212.42786       618.115906    
   601.000000       1213.20605       619.209229    
   602.000000       1213.97217       620.302673    
   603.000000       1214.75269       621.396118    
   604.000000       1215.52771       622.489807    
   605.000000       1216.29871       623.583496    
   606.000000       1217.07751       624.677368    
   607.000000       1217.85498       625.771118    
   608.000000       1218.63843       626.865173    
   609.000000       1219.41602       627.959229    
   610.000000       1220.20264       629.053284    
   611.000000       1220.98438       630.147583    
   612.000000       1221.77063       631.241882    
   613.000000       1222.55017       632.336243    
   614.000000       1223.34033       633.430786    
   615.000000       1224.12793       634.525330    
   616.000000       1224.91809       635.619995    
   617.000000       1225.70435       636.714722    
   618.000000       1226.49658       637.809509    
   619.000000       1227.28943       638.904358    
   620.000000       1228.08496       639.999390    
   621.000000       1228.87842       641.094482    
   622.000000       1229.67407       642.189575    
   623.000000       1230.46680       643.284851    
   624.000000       1231.26343       644.380066    
   625.000000       1232.05859       645.475342    
   626.000000       1232.86145       646.570862    
   627.000000       1233.66284       647.666443    
   628.000000       1234.46277       648.761963    
   629.000000       1235.27039       649.857666    
   630.000000       1236.07227       650.953369    
   631.000000       1236.87537       652.049194    
   632.000000       1237.67761       653.145081    
   633.000000       1238.48828       654.241089    
   634.000000       1239.29297       655.336975    
   635.000000       1240.10559       656.433105    
   636.000000       1240.91138       657.529236    
   637.000000       1241.72192       658.625427    
   638.000000       1242.53784       659.721802    
   639.000000       1243.34717       660.818054    
   640.000000       1244.16150       661.914551    
   641.000000       1244.97864       663.010986    
   642.000000       1245.79224       664.107605    
   643.000000       1246.60327       665.204163    
   644.000000       1247.42822       666.300842    
   645.000000       1248.24280       667.397644    
   646.000000       1249.06372       668.494385    
   647.000000       1249.87793       669.591309    
   648.000000       1250.70264       670.688232    
   649.000000       1251.53015       671.785278    
   650.000000       1252.34753       672.882263    
   651.000000       1253.16785       673.979248    
   652.000000       1253.99622       675.076477    
   653.000000       1254.81921       676.173706    
   654.000000       1255.65393       677.270935    
   655.000000       1256.48157       678.368286    
   656.000000       1257.30493       679.465698    
   657.000000       1258.12854       680.563171    
   658.000000       1258.95935       681.660583    
   659.000000       1259.79822       682.758179    
   660.000000       1260.62817       683.855835    
   661.000000       1261.45679       684.953369    
   662.000000       1262.28503       686.051208    
   663.000000       1263.13281       687.148865    
   664.000000       1263.96521       688.246765    
   665.000000       1264.79517       689.344604    
   666.000000       1265.63806       690.442505    
   667.000000       1266.46899       691.540466    
   668.000000       1267.30505       692.638428    
   669.000000       1268.14758       693.736572    
   670.000000       1268.98853       694.834534    
   671.000000       1269.83337       695.932800    
   672.000000       1270.67163       697.030945    
   673.000000       1271.51526       698.129272    
   674.000000       1272.35266       699.227539    
   675.000000       1273.20447       700.325867    
   676.000000       1274.04749       701.424194    
   677.000000       1274.89612       702.522522    
   678.000000       1275.73694       703.621094    
   679.000000       1276.58313       704.719543    
   680.000000       1277.43518       705.818176    
   681.000000       1278.27954       706.916687    
   682.000000       1279.13074       708.015320    
   683.000000       1279.98352       709.114014    
   684.000000       1280.83118       710.212708    
   685.000000       1281.68298       711.311462    
   686.000000       1282.53320       712.410217    
   687.000000       1283.38525       713.509033    
   688.000000       1284.23853       714.607910    
   689.000000       1285.09326       715.706726    
   690.000000       1285.95093       716.805664    
   691.000000       1286.81372       717.904724    
   692.000000       1287.66760       719.003662    
   693.000000       1288.53125       720.102783    
   694.000000       1289.38318       721.201721    
   695.000000       1290.24646       722.300903    
   696.000000       1291.10022       723.399963    
   697.000000       1291.96143       724.499084    
   698.000000       1292.82397       725.598389    
   699.000000       1293.68323       726.697632    
   700.000000       1294.54651       727.796814    
   701.000000       1295.41321       728.896057    
   702.000000       1296.27698       729.995422    
   703.000000       1297.14050       731.094788    
   704.000000       1297.99731       732.194214    
   705.000000       1298.87244       733.293640    
   706.000000       1299.74316       734.393005    
   707.000000       1300.60498       735.492554    
   708.000000       1301.47766       736.591919    
   709.000000       1302.33984       737.691528    
   710.000000       1303.21021       738.791077    
   711.000000       1304.08167       739.890564    
   712.000000       1304.94519       740.990173    
   713.000000       1305.82019       742.089844    
   714.000000       1306.69873       743.189453    
   715.000000       1307.56433       744.289062    
   716.000000       1308.44019       745.388794    
   717.000000       1309.31567       746.488403    
   718.000000       1310.18176       747.588196    
   719.000000       1311.06372       748.687988    
   720.000000       1311.94116       749.787781    
   721.000000       1312.81421       750.887512    
   722.000000       1313.68872       751.987305    
   723.000000       1314.56750       753.087158    
   724.000000       1315.44312       754.186951    
   725.000000       1316.32703       755.286987    
   726.000000       1317.20276       756.386902    
   727.000000       1318.07776       757.486755    
   728.000000       1318.95654       758.586670    
   729.000000       1319.84119       759.686523    
   730.000000       1320.72534       760.786560    
   731.000000       1321.60571       761.886536    
   732.000000       1322.49377       762.986511    
